Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2016Q1,1,Male,5999
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q1,E0,All Education Categories,1023
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2016Q2,1,Male,6008
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q2,E0,All Education Categories,6365
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2016Q3,1,Male,6345
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q3,E0,All Education Categories,-2995
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2018Q4,E0,All Education Categories,1203
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2016Q4,1,Male,6459
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2017Q1,1,Male,6473
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2017Q2,1,Male,6149
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2017Q3,1,Male,6182
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2017Q4,1,Male,6637
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2018Q1,1,Male,6623
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,44-45,Retail Trade,-1147
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2018Q2,1,Male,6323
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2018Q3,1,Male,6421
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,44-45,Retail Trade,-1060
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,44-45,Retail Trade,-1043
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,44-45,Retail Trade,-1038
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,71,"Arts, Entertainment, and Recreation",-978
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,71,"Arts, Entertainment, and Recreation",-920
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,56,Administrative and Support and Waste Management and Remediation Services,-907
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-894
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,61,Educational Services,-864
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,61,Educational Services,-753
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,71,"Arts, Entertainment, and Recreation",-750
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,72,Accommodation and Food Services,-710
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,56,Administrative and Support and Waste Management and Remediation Services,-708
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,61,Educational Services,-688
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,56,Administrative and Support and Waste Management and Remediation Services,-647
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,56,Administrative and Support and Waste Management and Remediation Services,-629
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,23,Construction,-610
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q2,61,Educational Services,-595
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,56,Administrative and Support and Waste Management and Remediation Services,-574
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2018Q4,1,Male,6807
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2019Q1,E0,All Education Categories,1905
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2019Q2,E0,All Education Categories,7465
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education,2019Q3,E0,All Education Categories,N/A
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,23,Construction,-444
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,71,"Arts, Entertainment, and Recreation",-421
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,72,Accommodation and Food Services,-412
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2016Q3,E0,All Education Categories,-3262
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,56,Administrative and Support and Waste Management and Remediation Services,-389
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2017Q3,E0,All Education Categories,-2464
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,51,Information,-363
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,44-45,Retail Trade,-340
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2016Q4,E0,All Education Categories,-522
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2019Q1,1,Male,6876
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2017Q4,E0,All Education Categories,-324
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2017Q1,E0,All Education Categories,1941
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,23,Construction,-305
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2016Q1,E0,All Education Categories,2297
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,54,"Professional, Scientific, and Technical Services",-294
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2017Q2,E0,All Education Categories,5999
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,52,Finance and Insurance,-287
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Education All,2016Q2,E0,All Education Categories,7440
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2018Q1,E0,All Education Categories,30904
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,42,Wholesale Trade,-226
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,23,Construction,-210
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,92,Public Administration,-208
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,54,"Professional, Scientific, and Technical Services",-206
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,92,Public Administration,-195
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,48-49,Transportation and Warehousing,-188
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,92,Public Administration,-184
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2019Q1,E0,All Education Categories,31256
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,81,Other Services (except Public Administration),-173
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2018Q4,E0,All Education Categories,36905
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,71,"Arts, Entertainment, and Recreation",-169
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,55,Management of Companies and Enterprises,-167
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,53,Real Estate and Rental and Leasing,-165
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,44-45,Retail Trade,-164
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,61,Educational Services,-163
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2018Q3,E0,All Education Categories,38284
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,51,Information,-133
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,71,"Arts, Entertainment, and Recreation",-126
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2019Q3,E0,All Education Categories,40191
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,31-33,Manufacturing,-123
Earnings,Mid-Maryland WIA,Maryland Average Monthly Earnings by Gender,2019Q2,1,Male,6505
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,81,Other Services (except Public Administration),-122
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,11,"Agriculture, Forestry, Fishing and Hunting",-101
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,54,"Professional, Scientific, and Technical Services",-101
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,31-33,Manufacturing,-97
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,81,Other Services (except Public Administration),-93
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,81,Other Services (except Public Administration),-89
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,48-49,Transportation and Warehousing,-89
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,52,Finance and Insurance,-87
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,42,Wholesale Trade,-86
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,72,Accommodation and Food Services,-77
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2018Q2,E0,All Education Categories,41689
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,55,Management of Companies and Enterprises,-76
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,11,"Agriculture, Forestry, Fishing and Hunting",-76
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,11,"Agriculture, Forestry, Fishing and Hunting",-76
New Hires,Mid-Maryland WIA,Maryland New Hires by Education,2019Q2,E0,All Education Categories,42525
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,54,"Professional, Scientific, and Technical Services",-68
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,52,Finance and Insurance,-67
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,62,Health Care and Social Assistance,-67
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,53,Real Estate and Rental and Leasing,-66
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,51,Information,-65
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,52,Finance and Insurance,-60
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,51,Information,-59
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,53,Real Estate and Rental and Leasing,-53
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,51,Information,-53
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,48-49,Transportation and Warehousing,-51
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,55,Management of Companies and Enterprises,-47
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q4,51,Information,-46
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,31-33,Manufacturing,-45
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,42,Wholesale Trade,-41
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,48-49,Transportation and Warehousing,-41
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,51,Information,-36
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,55,Management of Companies and Enterprises,-33
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,11,"Agriculture, Forestry, Fishing and Hunting",-31
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q2,48-49,Transportation and Warehousing,-27
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,55,Management of Companies and Enterprises,-26
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,31-33,Manufacturing,-24
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,31-33,Manufacturing,-24
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",-23
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,81,Other Services (except Public Administration),-21
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,52,Finance and Insurance,-21
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,51,Information,-21
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,72,Accommodation and Food Services,-20
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,48-49,Transportation and Warehousing,-19
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,55,Management of Companies and Enterprises,-17
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,56,Administrative and Support and Waste Management and Remediation Services,-16
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,52,Finance and Insurance,-14
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,81,Other Services (except Public Administration),-14
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,11,"Agriculture, Forestry, Fishing and Hunting",-9
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,22,Utilities,-9
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",-9
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,22,Utilities,-6
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,21,"Mining, Quarrying, and Oil and Gas Extraction",-5
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,22,Utilities,-5
New Hires,Mid-Maryland WIA,Maryland New Hires by Education All,2016Q1,E0,All Education Categories,29900
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",-4
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,22,Utilities,-3
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,53,Real Estate and Rental and Leasing,-2
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",-1
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q1,22,Utilities,-1
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,22,Utilities,-1
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,11,"Agriculture, Forestry, Fishing and Hunting",0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q3,53,Real Estate and Rental and Leasing,0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,22,Utilities,0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,22,Utilities,0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2019Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,21,"Mining, Quarrying, and Oil and Gas Extraction",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,22,Utilities,0.023
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q3,22,Utilities,0.027
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q1,22,Utilities,0.028
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q1,22,Utilities,0.03
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q2,22,Utilities,0.03
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q1,22,Utilities,0.031
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,22,Utilities,0.032
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,22,Utilities,0.032
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,92,Public Administration,0.032
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q3,92,Public Administration,0.032
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q4,92,Public Administration,0.033
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,92,Public Administration,0.034
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,22,Utilities,0.034
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q3,61,Educational Services,0.034
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q4,21,"Mining, Quarrying, and Oil and Gas Extraction",0.034
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,92,Public Administration,0.035
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q4,22,Utilities,0.035
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,92,Public Administration,0.036
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,22,Utilities,0.036
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,61,Educational Services,0.036
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,92,Public Administration,0.037
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q1,92,Public Administration,0.038
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q1,92,Public Administration,0.038
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q2,92,Public Administration,0.038
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,92,Public Administration,0.039
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,61,Educational Services,0.039
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,22,Utilities,0.039
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,92,Public Administration,0.04
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q1,92,Public Administration,0.041
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",0.044
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",0.047
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,61,Educational Services,0.048
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,61,Educational Services,0.048
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q2,61,Educational Services,0.048
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,22,Utilities,0.049
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",0.049
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q4,51,Information,0.05
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,51,Information,0.051
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,11,"Agriculture, Forestry, Fishing and Hunting",0.051
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,31-33,Manufacturing,0.051
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,31-33,Manufacturing,0.051
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q1,31-33,Manufacturing,0.051
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q1,51,Information,0.052
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,61,Educational Services,0.052
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,31-33,Manufacturing,0.052
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,31-33,Manufacturing,0.052
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q1,11,"Agriculture, Forestry, Fishing and Hunting",0.052
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,61,Educational Services,0.053
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q2,31-33,Manufacturing,0.053
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q3,51,Information,0.054
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,51,Information,0.055
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q4,61,Educational Services,0.055
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,31-33,Manufacturing,0.056
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,52,Finance and Insurance,0.056
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q4,51,Information,0.056
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,51,Information,0.057
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q1,31-33,Manufacturing,0.058
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,52,Finance and Insurance,0.058
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q3,31-33,Manufacturing,0.058
New Hires,Mid-Maryland WIA,Maryland New Hires by Education All,2017Q1,E0,All Education Categories,30881
New Hires,Mid-Maryland WIA,Maryland New Hires by Education All,2017Q4,E0,All Education Categories,35202
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,31-33,Manufacturing,0.059
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,52,Finance and Insurance,0.059
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,31-33,Manufacturing,0.059
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q1,21,"Mining, Quarrying, and Oil and Gas Extraction",0.059
