AlleganyCounty,Column1,Column2,Column3,Column4,Column5,Column6,Column7
AlleganyCounty,Employment Status Amongst Maryland Workers,,,2015,2016,2017,2018
AlleganyCounty,Gender,,,,,,
AlleganyCounty,,Male,,,,,
AlleganyCounty,,,Not working,103515,109200,110058,112057
AlleganyCounty,,,part-time,22150,17617,19386,19263
AlleganyCounty,,,full-time,152648,152506,155008,154351
AlleganyCounty,,Female,,,,,
AlleganyCounty,,,Not working,130771,134321,130600,133239
AlleganyCounty,,,part-time,32618,32829,34367,29765
AlleganyCounty,,,full-time,123050,122046,123834,127798
AlleganyCounty,Race,,,,,,
AlleganyCounty,,White,,,,,
AlleganyCounty,,,Not working,172181,174341,167737,173615
AlleganyCounty,,,part-time,42510,39128,41970,36942
AlleganyCounty,,,full-time,209998,201794,201016,203657
AlleganyCounty,,Black,,,,,
AlleganyCounty,,,Not working,41692,39719,44073,39028
AlleganyCounty,,,part-time,6926,6698,5567,6528
AlleganyCounty,,,full-time,44192,45302,46852,50214
AlleganyCounty,,American Indian or Alaska Native,,,,,
AlleganyCounty,,,Not working,487,213,356,366
AlleganyCounty,,,part-time,,,,88
AlleganyCounty,,,full-time,204,265,432,484
AlleganyCounty,,Chinese,,,,,
AlleganyCounty,,,Not working,645,679,991,1373
AlleganyCounty,,,part-time,785,266,469,116
AlleganyCounty,,,full-time,1491,962,3005,2027
AlleganyCounty,,Japanese,,,,,
AlleganyCounty,,,Not working,107,239,402,743
AlleganyCounty,,,part-time,,,,163
AlleganyCounty,,,full-time,586,313,59,353
AlleganyCounty,,Other Asian,,,,,
AlleganyCounty,,,Not working,7062,7303,4944,7336
AlleganyCounty,,,part-time,2494,1668,941,1887
AlleganyCounty,,,full-time,10156,8061,10511,9394
AlleganyCounty,,Other Race,,,,,
AlleganyCounty,,,Not working,2390,6203,10054,6690
AlleganyCounty,,,part-time,349,592,2703,1669
AlleganyCounty,,,full-time,4352,7249,9576,7650
AlleganyCounty,,Two Major,,,,,
AlleganyCounty,,,Not working,8145,12193,10095,11466
AlleganyCounty,,,part-time,1617,2018,1883,1053
AlleganyCounty,,,full-time,4561,9003,6603,7170
AlleganyCounty,,Three or More,,,,,
AlleganyCounty,,,Not working,1577,2631,2006,4679
AlleganyCounty,,,part-time,87,76,220,582
AlleganyCounty,,,full-time,158,1603,788,1200
AlleganyCounty,Education,,,,,,
AlleganyCounty,,N/A,,,,,
AlleganyCounty,,,Not working,20324,19710,18647,19943
AlleganyCounty,,,part time,0,0,,
AlleganyCounty,,,full time,0,0,,
AlleganyCounty,,No School,,,,,
AlleganyCounty,,,Not working,16209,15561,14284,13801
AlleganyCounty,,,part-time,,490,253,502
AlleganyCounty,,,full-time,538,1311,1560,1181
AlleganyCounty,,Nursery,,,,,
AlleganyCounty,,,Not working,9814,9816,10433,9422
AlleganyCounty,,,part time,,,,
AlleganyCounty,,,full time,,,,
AlleganyCounty,,Kindergarten,,,,,
AlleganyCounty,,,Not working,4938,8564,7635,7654
AlleganyCounty,,,part time,,,,
AlleganyCounty,,,full time,,,,
AlleganyCounty,,Less than Highschool,,,,,
